#oc-R11D9D7SHXIJB9	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R11O5J5ZVQE25C	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R12MGTQS5KZZRV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R14ZSRYW2YB41B	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R155JB2SA58E17	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R162D7S0A880MV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R163CP16SRRI50	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R19EJ3VEA88T6O	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1CF9LIM90SAB6	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GKUU1PTIDIZ7	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1GSBW9QIVY489	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1K4OCJ8HEIEDY	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1QHGBT11WAS7G	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1U8FAII0QYOT3	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1UO6NAAGVBW7Z	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R1VRD09DW4H2HI	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R26DKYCO954ZWP	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R28I1AL1ZAZLXL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2B86BJE5FNKXX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2HWL8UHAIMFRS	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2K9AJ2LWO7ZUJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2M17G7NB9RAIV	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2MG5C3DMRU8Q0	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2R45EEG606NCJ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W0C6DARSLJ0S	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2W66Y63G88976	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2XZVYL146WRFL	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R2YPVWM76O2TFX	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R31AI08Q9HLVF1	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R34PQ2ORKQ6WCD	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3DERHJ8UWPZZ	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3EDGA2893DM4Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3F0UDHOQC1RNU	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3OS88C8I7GSS5	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RMG4F3JAN4CE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3RQNMHS7481DE	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3SRKE3YQ2BNES	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TXZAQ0JD85LR	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-R3TZTZQ7UHNM8Y	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RKU1BA6XFA3Q4	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RMBODWNVK1H1D	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RODMQLZAXFCUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RS2VFRNYYRVUG	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RSZMLJGJRON5W	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RUCLMJ3IUSWPC	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXCJ97CMQTXVA	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
#oc-RXFX0AFFBDSJN	  {'B005HG9ET0', 'B005HG9ESG', 'B005HG9ERW'}
A14HX0F4WDVTFW	  {'B00622CYVI', 'B001BM395E', 'B000HDK0DC'}
A14HXQLEP9K78L	  {'B000CQE3HS', 'B000CQE3IC', 'B000CQID1A', 'B000RI1W8E', 'B000CQID1K'}
A14II1SA3FSE6R	  {'B0026LKJTS', 'B0026LIO9A', 'B0026LFFN8', 'B0026LKK7O'}
A14ILB2UWRW6VD	  {'B000VK08OC', 'B000GAO91K', 'B005LNA5VK'}
A14IW8FI5KA3QM	  {'B000HLCFLY', 'B000RJRXI6', 'B001EO5M2M'}
A14IWAGB679T86	  {'B0016FY6H6', 'B0012BSMJM', 'B0016FRI8A', 'B0012BUR6S', 'B0012BSMHY'}
A14J4V61SWEOGU	  {'B004R8L71W', 'B004EE0TYK', 'B004APZYVG', 'B004FEN3GK', 'B004R8J8E0', 'B004FELBH8'}
A14J4WEKLYA9VL	  {'B008O3G2GG', 'B005GBIXZM', 'B008O3G25W', 'B005GYULZY', 'B005CUU25G', 'B008O3G2K2', 'B005CUU23S'}
A14J7CUTSUB301	  {'B001D0IZBM', 'B006GA666U', 'B007PA33NY', 'B006N3I0DM'}
A14JBDSWKPKTZA	  {'B004JGQ16I', 'B0014WYY1E', 'B004JRMG98', 'B001EQ55RW'}
A14JCKCDCL2ZAR	  {'B001IZM92I', 'B001IZM91Y', 'B001EQ5IS8'}
A14JI0BOS16W5Z	  {'B000KTWAWC', 'B0029TECEA', 'B003MWERTS', 'B003MWCXEE'}
A14JILYDUUM4L	  {'B000EVIDVI', 'B0034EDMLI', 'B003TN6FNG', 'B0034EDMCW', 'B0034EFIYC', 'B0034EDM2W', 'B003TN8JEO', 'B0034EDLS2'}
A14JIQCR65GERP	  {'B004JM9QZ0', 'B0054TWPNC', 'B002RRLZQW'}
A14KGEU953W70R	  {'B003ULDYRW', 'B004EDHCW8', 'B000E130DY', 'B0001GSPC8'}
A14KY9DK11DF0W	  {'B005XB5K0G', 'B008QLRJH2', 'B0061UQ6ME'}
A14KZBQM8CR5VU	  {'B008BY7NSE', 'B009E7YC54', 'B004P4POZ8', 'B0044XBQDE'}
A14L15JM990MBP	  {'B0000DJ7SR', 'B005O072PC', 'B000E3XBS6', 'B00171417O', 'B00171294G', 'B001G5OQZI', 'B000T7OIF2', 'B001I6POJ2', 'B00171419W', 'B001G5N8KW', 'B001717U90', 'B0088YBUOU', 'B00171417E', 'B000V6FU12', 'B000T7MQZQ', 'B00171295K', 'B0000DJ7TL', 'B0017165E6', 'B002BUBIW6', 'B0000DJ7RX', 'B00171419C', 'B001710LDM', 'B004S036E0'}
A14L2638XC00EZ	  {'B002TMV34E', 'B002TMV3E4', 'B008EG58V8', 'B005OVPKCI', 'B002IEVJRY'}
A14L39FHA1BNK8	  {'B000YSS7EO', 'B000YSTGGW', 'B000YSQ9GC'}
A14L3AY4DMNNHZ	  {'B00020V5NE', 'B00020V5N4', 'B00020V5NO'}
A14L59ZXZ46EZV	  {'B001L04BDA', 'B001L0677S', 'B001L0B2BO'}
A14L9HK0DK3SAI	  {'B000CQG8K8', 'B003D4F1QS', 'B000CQIDHY', 'B000CQC05U', 'B003D4IYSU', 'B000CQC064', 'B003CK7O36', 'B000CQBZPG', 'B000CQG8KS', 'B000CQID6U', 'B003D4MYLS', 'B003D4MW38'}
A14L9HQL6COR46	  {'B003KRHDMI', 'B004OAZ36I', 'B005HGAVDI', 'B0083T5TAQ'}
A14L9XQV7GV1PY	  {'B001942GAI', 'B001ULH7P4', 'B001ULOTKU'}
A14LE9DSWRPM1U	  {'B007OXJJQ2', 'B00370CFR6', 'B003G52BN0', 'B008YA1NWC'}
A14LG64GIVZIGS	  {'B004867T24', 'B004YV80O4', 'B004JRMG98', 'B002NHYQAS', 'B004BKLHOS', 'B004YV80OE'}
A14LGGRDGKO02Y	  {'B0007A0AQW', 'B000H0ZJIG', 'B0007A0AQM', 'B000BRR8VQ', 'B000H1217M', 'B000H0ZJHW'}
A14LI5FWCIYR2Q	  {'B003OP550S', 'B0000V8IOE', 'B001VS3X4A', 'B000IKDIME', 'B002LVA88U', 'B001VS62GQ'}
A14LIGPEZDBV1	  {'B004779XSM', 'B001EQ4IKW', 'B004I3Y4IE', 'B007OXJL0G'}
A14LL0MTTB8T3C	  {'B005K4Q4KG', 'B0076MLL12', 'B005K4Q1T0', 'B005K4Q1VI', 'B005K4Q68Q'}
A14LL19D6LQXXX	  {'B009E7YC54', 'B008BY7NSE', 'B004P4POZ8'}
A14LYFBC8HB115	  {'B001X9570K', 'B000U94MN2', 'B003QSMCWC'}
A14MKGCLKUB5J8	  {'B004KKXI0A', 'B007EIR478', 'B004KKXI0U', 'B004KKXI0K'}
A14MRJMPYTEF31	  {'B003SBW50G', 'B000LKVFQ2', 'B000LKXEB6', 'B000FELX2U'}
A14MSHFCXPARFS	  {'B002IEZJMA', 'B007POT6RM', 'B001VJ0B0I', 'B005MWAM72', 'B007I7Z3Z0', 'B007I7YZJK', 'B005A1LJ04', 'B0041NYV8E', 'B005SPQENY'}
A14MSTXUI8DOPI	  {'B001942GAI', 'B001ULH7P4', 'B001ULOTKU', 'B0009ZC482'}
A14MUG0XQLY4C1	  {'B000ETXODC', 'B001FA1AWG', 'B000ETXOD2', 'B002FBY4AO'}
A14MY52FPCUH70	  {'B000CMF18W', 'B0009F3QLQ', 'B006LS3QT2', 'B000FRXI66', 'B0009F3SEQ', 'B0009F3SEG', 'B0009F3QKM', 'B000ET4SM8', 'B0009F3SA0'}
A14MYK27B8PPIS	  {'B000FBOAO6', 'B000FBOAOQ', 'B000FBOAP0', 'B000FBM54S'}
A14MZ4J2HRY1CM	  {'B004D0JHCA', 'B0017128OM', 'B001682P4E', 'B001717TQO', 'B001710K60'}
A14N6TJRP83FCE	  {'B002TMV3CG', 'B0090X8IPM', 'B002TMV3E4', 'B004FEN3GK', 'B003GTR8IO'}
A14N6VRMTWXP79	  {'B000OCQ6DY', 'B000W5QSYA', 'B000W5SLB8'}
A14N9YGGSY9MWQ	  {'B0012KIBP8', 'B00284TNL8', 'B002HN0EYK', 'B000F3OERW', 'B0029O0GA4', 'B000G2UUOS', 'B000GPXQO6', 'B005FG6NY6', 'B000E7SYLG', 'B0012KB4U2'}
A14NFHNFLXLAWB	  {'B000FNB3AI', 'B000LKVHYC', 'B000FNH1C2', 'B000FNEX8C', 'B000EVG8GU'}
A14NIK5Z9PBQDK	  {'B0025UCI94', 'B000633PT4', 'B001ELL68Y'}
A14NQD4RHMM542	  {'B0013NUGDE', 'B0026KNQSA', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B007M832YY', 'B006HYLW32', 'B0026KPDG8'}
A14NWREC1IZVQW	  {'B000CQG8K8', 'B000CQIDHY', 'B000CQC05U', 'B000CQC064', 'B003CK7O36', 'B000CQBZPG', 'B000CQG8KS', 'B000CQID6U'}
A14NYKVV4CYF5S	  {'B00020UGMU', 'B0001ZZIEC', 'B00020UGN4'}
A14O11CKPLPFOG	  {'B003FDC2I2', 'B000YSQ9GC', 'B003FDG4K4', 'B005V9UG18', 'B000YSTGGW', 'B000YSS7EO'}
A14O8S7PHTOJFX	  {'B004HLAHUQ', 'B007TJGY5K', 'B006N3I0N2', 'B0076RE7IG', 'B007PA31TK', 'B004EDBVCU', 'B007OXJLZQ', 'B001D0GVAO'}
A14OBQ9SQVS6G3	  {'B0030VBQOK', 'B002C5DMMY', 'B0030VBRCG', 'B0030VJ818', 'B0030VJ8PE', 'B0030VJ8E0'}
A14OCI729Y7Y1R	  {'B001EQ5RRU', 'B001684P88', 'B0002QEEQI'}
A14OHAS3A33U5T	  {'B002GJ9JY6', 'B002GJ9JWS', 'B008ZRKZSM'}
A14OOQFU9BS924	  {'B008EM51FA', 'B004TI4SIE', 'B004TH09WE'}
A14OQ67LM79KW3	  {'B001OCBT3U', 'B001EQ55ZO', 'B001EPQRGG', 'B004FEN3GK', 'B004FELBH8', 'B001EQ55RW'}
A14OUJJJQZ3BG2	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A14OYV100F8WAO	  {'B002TOEMWW', 'B000V9VLOO', 'B000MT4HWG'}
A14P4HH62TG2L6	  {'B002QWHJOU', 'B002QWP8H0', 'B002QWP89S', 'B0026RQTGE'}
A14PDJCC95QMRH	  {'B003N0ZEKU', 'B007TJGZ0Y', 'B002HQLY7S'}
A14PHAEE6FE0ZJ	  {'B0007A0AQW', 'B000H0ZJIG', 'B0007A0AQM', 'B000BRR8VQ', 'B000H1217M', 'B0042ROG02', 'B000H0ZJHW'}
A14PRKDGZDT8JS	  {'B003O7E14M', 'B000YSQ9GC', 'B000YSTGGW', 'B000YSS7EO', 'B001DWF018'}
A14PRSBSL1KBL9	  {'B00384GGLC', 'B00384ABT0', 'B00384GGGC', 'B0016687F2', 'B000LL0R92'}
A14PVYX20TK9TD	  {'B002YJ0118', 'B000PDY3P0', 'B000PDWBKO', 'B000PDY3HI'}
A14Q00Q61B7FII	  {'B003EJ3YPM', 'B000EDM6BO', 'B0048KEF8Q'}
A14Q0HNK3UOO6O	  {'B004G5ZYQA', 'B004G5ZYU6', 'B004G5ZYQU', 'B004G5ZYN8'}
A14Q5D3QYA8FPV	  {'B000F3Q8XU', 'B001BZ9SMO', 'B0009P68HK', 'B002FYAN06', 'B001EQ4DC0', 'B000G7YO2M', 'B001E5DR8C', 'B000EMAZPO', 'B000GZU7QQ', 'B000G7WWW6', 'B001650XUK', 'B000F3SE82', 'B000LKVTCW', 'B000G80R6S', 'B001VA8MT4', 'B000LKZ91Y', 'B001CWU9E2', 'B000F3VFDS', 'B001CWU9HE', 'B001E5DYSK', 'B001CWV4PA', 'B000FVW4OY'}
A14QC0VV8E3O9M	  {'B000XQ5HDQ', 'B000GW67KY', 'B000GW0UGG', 'B003ZJNC8A'}
A14QF5DLFBPCF8	  {'B0029ZAOW8', 'B003QNLUTI', 'B001AS1A4Q', 'B003QNJYXM'}
A14QH5E4GBNG19	  {'B000O393QK', 'B003P9WU6K', 'B0049EX47O'}
A14QHYO3ERMM54	  {'B0030VJ70K', 'B007NIAR0K', 'B0030VJ79Q', 'B007NIAR1Y', 'B0030VBQ5Y', 'B007GI8434', 'B0030VBPN2'}
A14QJZ907I16UQ	  {'B001TM70V0', 'B001TLY7A8', 'B001TM70XS', 'B001TLY7BM'}
A14QXHEO00476J	  {'B001BCOYMG', 'B000VKA6GC', 'B001EO6H26', 'B000VK2W6O', 'B000II4LOA'}
A14R9XMZVJ6INB	  {'B001OCBSS6', 'B001OCG1A6', 'B001YUM3MS', 'B001LN4IZS', 'B005A1LGIY', 'B008JKTTUA', 'B008JKU2CO', 'B007RTR8T8', 'B003DNL9U6', 'B001D09KAM', 'B001EQ4DXE', 'B003DNL9RY', 'B002J9J8QC', 'B001D0DMME', 'B001EO5PSI', 'B008JKSJJ2', 'B003TNANSO', 'B008JKTH2A', 'B001D0DMMY', 'B000HY57AW'}
A14RPV7RGRE9NN	  {'B000F4D4HW', 'B000GAO91K', 'B005LNA5VK', 'B00016XLMC'}
A14RWGIAGTBR8O	  {'B003D4F1QS', 'B003D4MYLS', 'B003D4IYSU', 'B003D4MW38'}
A14RZ5S6I6ETD8	  {'B0029XLH4Y', 'B007TJGY46', 'B008FHUGNQ', 'B006N3HZ6K'}
A14RZ8055OH7UY	  {'B0038B38BQ', 'B003E3UH12', 'B002C1CWLA', 'B0038B1DEU'}
A14RZUPW44KCPF	  {'B0046IDCA2', 'B000VK4K3W', 'B000EZMMPW', 'B001TLY7A8', 'B004HYH8Q4', 'B00427ZLOM', 'B000WSHV1Q', 'B007HERNSO', 'B001TM70V0', 'B003R0LKTU', 'B000BXZ6FA', 'B00427ZLOW', 'B00427ZLOC', 'B004HYH8PU', 'B001397WYY', 'B004HYH8PA', 'B000VK8HJ0', 'B001PMC3O8', 'B001PMDYXW', 'B001397WV2', 'B001PMDYV4', 'B001TLY7BM', 'B001TM70XS', 'B000VK6TKO', 'B0018CG2MO', 'B00139C3P2', 'B004HYH8PK'}
A14S0HY5LW1ANG	  {'B003D4F1QS', 'B003D4MYLS', 'B003D4IYSU', 'B003D4MW38'}
A14S8QOW04PJP7	  {'B0032CJPOK', 'B0020N3NRC', 'B003LSM98O', 'B0081XPTBS'}
A14SMVACF8TPBM	  {'B004X2NQVG', 'B0000VZ0LS', 'B000CDN17O', 'B004X2MYO6', 'B003J9ZT32'}
A14SRNQ2JT8WEA	  {'B001NXHY8Y', 'B001NXM3I0', 'B001NXM3GM'}
A14SV8IZ2TN9NC	  {'B0083P2QW4', 'B0083KXAVU', 'B0083PK0ZY', 'B0083JTZ7O', 'B0083OOJO8'}
A14SXPIYRPWP94	  {'B005K4Q34S', 'B005K4Q1YA', 'B005K4Q4LK', 'B005K4Q37A'}
A14T81IZOUR7LP	  {'B005GIF5WY', 'B0029NVJNI', 'B0029NTQ1K', 'B005GIF5UQ', 'B0029NVJX8', 'B0029NVJ4M', 'B005GIF5VU', 'B0029O10P4'}
A14TACD8M6ZR5B	  {'B00099XNZ6', 'B001M050CU', 'B001M050CA', 'B002HFRAN6', 'B001EQ596O', 'B000EMU2BG', 'B001EQ4H7G', 'B002HFWNAQ', 'B002HFWMOI', 'B002HFWNKG', 'B000EMPNCE'}
A14TBEG11WSHJ8	  {'B003DA54IW', 'B003DA54HS', 'B003DA54JQ', 'B003DA54KU', 'B003DA54LY'}
A14TEVQ264SAIM	  {'B0016B6BQ4', 'B002BW097O', 'B0019LV39G', 'B0016BES82'}
A14TKLDRIONAJ4	  {'B003D4F1QS', 'B003D4MYLS', 'B003D4IYSU', 'B003D4MW38'}
A14TLXE8P4B52Q	  {'B000EMW5N4', 'B005A1LJ04', 'B000GPXRRW'}
A14TNUCARGZE0T	  {'B0001IG49W', 'B000PKZBAY', 'B001BS4G6O', 'B000QSON4K', 'B003E728CE', 'B008GRONV6'}
A14TUWXDA5WQ7W	  {'B0027IKGIY', 'B000FVZW9I', 'B001HTI7MQ', 'B001HTG6CO', 'B001R7VT7S', 'B000LKUVVM', 'B001LGGH54', 'B0041CBI7C'}
A14TWVGTN8AHNW	  {'B000EQYQBO', 'B001BM01BE', 'B001BM4NAE', 'B000EQVAFY', 'B000EQT9MK', 'B001BM3C4M', 'B001BM4RC8', 'B000EQT4MA', 'B000EQT574', 'B0032B0BD0', 'B001BM3C0Q', 'B001BLXRPC', 'B000EQX57K', 'B000EQYW0E'}
A14TX79LOGKP0Z	  {'B0012AN4PU', 'B000GZW5OS', 'B0012AQNFI'}
A14U2WTVE7B377	  {'B0016FY6H6', 'B001EO5Q64', 'B0012BSMJM', 'B0016FRI8A', 'B001QY03TC', 'B0012BSMHY', 'B0012BUR6S', 'B001LQTHI8'}
A14U9XNY1SH1QE	  {'B0018KNGDY', 'B000JZYM8W', 'B001LFEUCM', 'B000JZYM8C'}
A14UG1SPDBSUP	  {'B007S0WQXE', 'B002HVIWWS', 'B008MM9W3E', 'B004AHCD8G'}
A14UKG5IWHPX7O	  {'B000E1ZUQO', 'B000E1ZUQY', 'B00430B73W', 'B000E243RA', 'B000E1VF86', 'B000F6UMHU', 'B0002VXZ40', 'B000E243R0'}
A14ULRE96GARYN	  {'B000NMI6LU', 'B004N5FR3S', 'B004D7K1AA'}
A14UUJMRQ6ULRV	  {'B001FXU6VY', 'B001FXU6WI', 'B001FXQ9RY', 'B001T4WKJ0', 'B001T4ZOL6', 'B001HTE5L8', 'B001T4ZOK2', 'B001FXU6PA', 'B001FXU6YQ', 'B001FXQ9QU', 'B001FXQAH8', 'B001FXQALO', 'B001FXU6QO'}
A14UZS88N25W4X	  {'B00954NYVY', 'B001KTA03C', 'B007TJGZ18', 'B006N3I3I4', 'B00954NY46'}
A14V0WLI9XE62Y	  {'B001BM6Q0Y', 'B002E0KW1Q', 'B000CFJDWY'}
A14V2UCF7H4SF9	  {'B0007A0AQW', 'B000H0ZJIG', 'B0007A0AQM', 'B000BRR8VQ', 'B000H1217M', 'B000H0ZJHW'}
A14VEJF020O9D2	  {'B002TKI3T4', 'B002W5SDEQ', 'B0007TKV9E'}
A14VFEX3PG0O7V	  {'B0029ZAOW8', 'B003QNLUTI', 'B001AS1A4Q'}
A14VLASIPHHLBJ	  {'B001AW9PTO', 'B001AWBL82', 'B002DHTWNO', 'B002DLXXHG', 'B00315WGNK'}
A14VMYVR2MRTS5	  {'B001E8DHPW', 'B004EAGP74', 'B000GAT6NG'}
A14VPYG4HLFV4B	  {'B000EYRBSQ', 'B000FDMLVI', 'B001CCLJ4Q'}
A14VQBJIDBCZ30	  {'B004H6MV28', 'B004QDA8WC', 'B00390T5JA'}
A14VQRIH3FDX5K	  {'B0018CFR1Q', 'B0018CIPS8', 'B003R0MFX0', 'B002C1Y538'}
A14WERXA5JD11B	  {'B008FHUGNQ', 'B007TJGY46', 'B0029XLH4Y', 'B006N3HZ6K'}
A14WMAUMDTGE4A	  {'B0002I0GT0', 'B0044MTGHI', 'B0002I0GU4', 'B000EUEI5E'}
A14WNOXXE6EAU4	  {'B0027E0YVM', 'B0027EBPV0', 'B004D1ZM8C', 'B0027E2M7Q'}
A14WNZ8T1YITTT	  {'B00125ZCWI', 'B000WVY4PE', 'B001E18K8S', 'B003SSWCJI', 'B000OQ2DJQ', 'B002LN1ME2', 'B0019QT66I', 'B000OQ2DL4', 'B000WVYB8Y', 'B001E0TBA0'}
A14WWT0QD2UTUM	  {'B0005YW8C4', 'B0051OQ626', 'B004P7T7RG', 'B0051OQ73E', 'B0051OQ6IA', 'B0005YW8K6', 'B004Q7H8UI', 'B0044TV9SA', 'B004P7QDHI'}
A14WXLY4BSE61M	  {'B00017LEXE', 'B003NDF1MI', 'B003NDA970', 'B000IMJU3I'}
A14X244VGHWPSX	  {'B005HG9ET0', 'B006MONQMC', 'B001LG945O', 'B004YV80O4', 'B004JGQ16I', 'B004FEJ968', 'B006BXUYN8', 'B005HG9ESG', 'B001LG940E', 'B005HG9ERW', 'B001LGGH54', 'B001LGGH40', 'B0051COPH6'}
A14X9R4QBQZFIE	  {'B000I0VLRS', 'B0042RBHDG', 'B000H27NU6'}
A14XCMKXUKMTFL	  {'B003GS5FMQ', 'B000LKTZ96', 'B003GS3VQ8', 'B001GINOQC', 'B001GINOP8'}
A14XRI4U6BRG8T	  {'B005Y1A8FW', 'B002MXSAD2', 'B0027UYT4O', 'B0027UQYZQ'}
A14XT7FSP1U5AD	  {'B0085V3YFO', 'B0040P1YMO', 'B0038B3A0A', 'B001ECQ4M6', 'B000EDM6BO'}
A14XTTV6IWDQJH	  {'B000GAT6MM', 'B001KQAR24', 'B0012C7VLG', 'B005P0NLJ2'}
A14XVN74REO8FX	  {'B004QK41KA', 'B004QQ35YM', 'B004QKP74O', 'B004QQA4KK', 'B004QQ6NV4'}
A14XZD4B7SF7BD	  {'B000FK8VHE', 'B001DBRKNA', 'B000SARZ9Q', 'B000SATXPU', 'B000SATXK0', 'B000SARZ2S', 'B001HTIUDC'}
A14Y1AOLNW3F6N	  {'B003E728CE', 'B008GRONV6', 'B001BS4G6O', 'B000QSON4K'}
A14Y1QH6J6A6R1	  {'B0030Z8SLK', 'B007PA32L2', 'B003Z6ZGZU'}
A14Y3S3R0KO9J9	  {'B008114GDW', 'B0034KP00S', 'B004MC0CNW', 'B0051TPWUI', 'B0049Z9ANU', 'B000ZT15EQ', 'B000ZSX4GE', 'B0049ZCF9G', 'B001TH4C2A', 'B0049Z5OSK', 'B0034KN29O'}
A14Y5TRH8BH54S	  {'B008NDSMT2', 'B008L9O0W6', 'B000CIXMKA'}
A14YBOI1XSJ0UP	  {'7310172101', 'B002FYU2R0', 'B0002DGRZC', 'B0002DGRPC', 'B0002DGRSY', 'B001B4VOQI', 'B000255OIG', '7310172001', 'B0002DGRQ6', 'B0002DGRRA'}
A14YGK4LQ2P5J1	  {'B001AFBJ9U', 'B000I6RC9I', 'B000I6MCYI', 'B001FA1LQ6'}
A14YIZZHS51A0U	  {'B000LKXDXU', 'B000LKTXMU', 'B000LKZ7OI', 'B000LKTXQG', 'B000LKTXNY'}
A14YN21RCE9O3L	  {'B0081XIASW', 'B0081XIAUK', 'B000P9EKDO', 'B000ETQ4XE', 'B00014CZQC', 'B0081XIA1E', 'B0081XIAOQ', 'B000EPPBX2'}
A14YSODSFZWIDZ	  {'B000CQG8AS', 'B001FCFYU8', 'B000I1OLT2', 'B000CQC08C', 'B001HTKOWC', 'B000CQE3NM', 'B003CK2BQG'}
A14YTWHIFDQQL1	  {'B00017LEXE', 'B003NDF1MI', 'B003NDA970', 'B000IMJU3I'}
A14YWJUJEYIGLR	  {'B001B3JAL0', 'B000EVNWSM', 'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A14Z5K54JVP3VJ	  {'B00020V5NE', 'B00020V5N4', 'B00020V5NO'}
A14Z6D3IRJ23F7	  {'B0002YW26E', 'B001WAL1PA', 'B00005C2M2'}
A14Z8PWKLIRDLA	  {'B005K4Q4KG', 'B0076MLL12', 'B005K4Q1T0', 'B005K4Q1VI', 'B005K4Q68Q'}
A14ZMA00OZQTRB	  {'B000FOYMIC', 'B0002DIO2G', 'B000FP0JY2'}
A14ZMTS3J55PRQ	  {'B004HYH8PA', 'B007HERNSO', 'B0046IDCA2', 'B00427ZLOW', 'B00427ZLOC', 'B004HYH8PU', 'B004HYH8Q4', 'B00427ZLOM', 'B004HYH8PK'}
A14ZROR1NHBYTO	  {'B001EPQQL2', 'B000G6Q4GW', 'B000G6RYOI', 'B000G6O2S4'}
A14ZUDBGA9VOL	  {'B0012KK462', 'B003760Z90', 'B0012KB43O', 'B0010B6IFY'}
A1501C38OCSEMA	  {'B005VOOQHS', 'B006MONQMC', 'B007I7Z3Z0', 'B004E4CCSQ', 'B006BXUYN8', 'B007I7YZJK', 'B004OQ257M', 'B0061IUIDY', 'B004OQ257C'}
A15037GE2508DR	  {'B000CQG8K8', 'B000CQIDHY', 'B000CQC05U', 'B000CQC064', 'B003CK7O36', 'B000CQBZPG', 'B000CQG8KS', 'B000CQID6U'}
A1508YUDOCR066	  {'B0013NUGDE', 'B001RVFEP2', 'B000VK8AVK', 'B007M83302', 'B001RVFERK', 'B006HYLW32', 'B007M832YY', 'B0026KNQSA', 'B0026KPDG8'}
A150925BGGPO6U	  {'B0035J1GE2', 'B000KTZ1VO', 'B004YV81LQ'}
A1509YCCYCYQQ3	  {'B007RTR8AM', 'B007RTR8AC', 'B004FEJ968'}
